Food product,Feed,Processing,Transport,Packaging,Retail,Total from Land to Retail,Total Global Average GHG Emissions per kg
Apples,0.0,0.004,0.096,0.044,0.017,0.357,0.43
Bananas,0.0,0.059,0.292,0.065,0.021,0.678,0.86
Barley,0.0,0.128,0.035,0.497,0.264,1.109,1.18
Beef (beef herd),1.878,1.269,0.346,0.247,0.164,59.57,99.48
Beef (dairy herd),2.508,1.108,0.424,0.268,0.182,21.085,33.3
Beet Sugar,0.0,0.242,0.629,0.09,0.039,1.536,1.81
Berries & Grapes,0.0,0.0,0.238,0.212,0.017,1.214,1.53
Brassicas,0.0,0.0,0.095,0.045,0.017,0.437,0.51
Cane Sugar,0.0,0.037,0.784,0.083,0.036,2.672,3.2
Cassava,0.0,0.0,0.094,0.045,0.039,0.987,1.32
Cheese,2.346,0.738,0.138,0.172,0.332,21.24,23.88
Citrus Fruit,0.0,0.0,0.094,0.045,0.017,0.317,0.39
Coffee,0.0,0.592,0.13,1.63,0.051,16.477,28.53
Dark Chocolate,0.0,0.185,0.061,0.4,0.021,18.681,46.65
Eggs,2.2,0.0,0.084,0.161,0.036,4.507,4.67
Fish (farmed),0.819,0.02,0.111,0.061,0.04,5.183,13.63
Groundnuts,0.0,0.372,0.12,0.099,0.042,2.497,3.23
Lamb & Mutton,2.37,1.111,0.49,0.251,0.217,24.415,39.72
Maize,0.0,0.052,0.06,0.06,0.026,0.988,1.7
Milk,0.236,0.149,0.09,0.097,0.256,2.781,3.15
Nuts,0.0,0.032,0.067,0.078,0.027,0.278,0.43
Oatmeal,0.0,0.042,0.067,0.066,0.029,1.575,2.48
Olive Oil,0.0,0.66,0.482,0.861,0.046,5.944,5.42
Onions & Leeks,0.0,0.0,0.095,0.045,0.039,0.395,0.5
Other Fruit,0.0,0.015,0.182,0.042,0.016,0.75,1.05
Other Pulses,0.0,0.0,0.096,0.353,0.039,1.61,1.79
Other Vegetables,0.0,0.06,0.164,0.041,0.015,0.455,0.53
Palm Oil,0.0,1.264,0.208,0.886,0.044,7.605,7.32
Peas,0.0,0.0,0.095,0.045,0.039,0.896,0.98
Pig Meat,2.94,0.284,0.343,0.296,0.19,7.282,12.31
Potatoes,0.0,0.0,0.094,0.045,0.039,0.37,0.46
Poultry Meat,1.775,0.44,0.276,0.212,0.177,6.092,9.87
Rapeseed Oil,0.0,0.193,0.19,0.844,0.046,3.828,3.77
Rice,0.0,0.065,0.096,0.084,0.063,3.839,4.45
Root Vegetables,0.0,0.0,0.114,0.045,0.039,0.365,0.43
Shrimps (farmed),2.51,0.0,0.206,0.334,0.219,11.854,26.87
Soybean Oil,0.0,0.311,0.299,0.849,0.043,6.117,6.32
Soymilk,0.0,0.163,0.11,0.098,0.27,0.914,0.98
Sunflower Oil,0.0,0.229,0.201,0.853,0.043,3.607,3.6
Tofu,0.0,0.794,0.177,0.177,0.27,2.871,3.16
Tomatoes,0.0,0.012,0.177,0.145,0.017,1.427,2.09
Wheat & Rye,0.0,0.217,0.129,0.09,0.058,1.441,1.57
Wine,0.0,0.139,0.093,0.749,0.039,1.585,1.79
